k0_bin,count,relative_frequency
0.39500000000000002,2,0.02000000000000000
0.40500000000000003,2,0.02000000000000000
0.41500000000000004,2,0.02000000000000000
0.43500000000000000,2,0.02000000000000000
0.44500000000000001,4,0.04000000000000000
0.45500000000000002,5,0.05000000000000000
0.46500000000000002,6,0.06000000000000000
0.47500000000000003,3,0.03000000000000000
0.48499999999999999,4,0.04000000000000000
0.49500000000000000,1,0.01000000000000000
0.50500000000000000,3,0.03000000000000000
0.51500000000000001,1,0.01000000000000000
0.52500000000000002,1,0.01000000000000000
0.53500000000000003,7,0.07000000000000001
0.54500000000000004,3,0.03000000000000000
0.55500000000000005,4,0.04000000000000000
0.56500000000000006,1,0.01000000000000000
0.57500000000000007,4,0.04000000000000000
0.58499999999999996,2,0.02000000000000000
0.59499999999999997,2,0.02000000000000000
1.24500000000000011,1,0.01000000000000000
1.27500000000000013,1,0.01000000000000000
1.29499999999999993,1,0.01000000000000000
1.31499999999999995,1,0.01000000000000000
1.34499999999999997,1,0.01000000000000000
1.35499999999999998,1,0.01000000000000000
1.36499999999999999,3,0.03000000000000000
1.37500000000000000,1,0.01000000000000000
1.38500000000000001,1,0.01000000000000000
1.39500000000000002,1,0.01000000000000000
1.41500000000000004,3,0.03000000000000000
1.42500000000000004,1,0.01000000000000000
1.43500000000000005,1,0.01000000000000000
1.44500000000000006,2,0.02000000000000000
1.46500000000000008,1,0.01000000000000000
1.48500000000000010,1,0.01000000000000000
1.49500000000000011,5,0.05000000000000000
1.51500000000000012,1,0.01000000000000000
1.53500000000000014,3,0.03000000000000000
1.55499999999999994,3,0.03000000000000000
1.63500000000000001,1,0.01000000000000000
1.66500000000000004,1,0.01000000000000000
1.71500000000000008,1,0.01000000000000000
1.73500000000000010,1,0.01000000000000000
1.76500000000000012,1,0.01000000000000000
1.77500000000000013,1,0.01000000000000000
1.79499999999999993,1,0.01000000000000000
1.84499999999999997,1,0.01000000000000000
